"times" "accel"
13.6 -2.7
14.6 -9.3
32.8 46.9
17.6 -37.5
44 -1.3
17.8 -99.1
15.4 -54.9
21.8 -108.4
15.8 -21.5
15.8 -50.8
8.8 -1.3
25 -64.4
33.8 45.6
25.4 -44.3
30.2 36.2
18.6 -50.8
48.8 -13.3
36.2 -37.5
15.6 -40.2
24.2 -95.1
13.8 0
25.4 -72.3
20.2 -123.1
27 -16
6.6 -2.7
15.4 -22.8
17.6 -123.1
35.6 34.8
9.6 -2.7
8.2 -2.7
40 -21.5
14.6 -16
35.2 -54.9
16.8 -71
15.6 -21.5
43 14.7
24.2 -81.8
33.4 16
10.2 -5.4
27.2 9.5
26.2 -107.1
17.6 -85.6
2.4 0
23.4 -128.5
16.4 -80.4
21.4 -101.9
25 -57.6
14.6 -22.8
26.4 -65.6
16.4 -5.4
53.2 -14.7
28.2 12
24.6 -53.5
42.8 0
50.6 0
55.4 -2.7
52 10.7
38 46.9
35.2 -16
14.6 -5.4
15.4 -53.5
26.2 -21.5
14.6 -5.4
31.2 8.1
16.8 -77.7
25.6 -26.8
16.6 -59
47.8 -26.8
13.2 -2.7
24 -112.5
11.4 0
23.2 -123.1
6.8 -1.3
41.6 -10.7
22 -123.1
27.2 -45.6
15.4 -32.1
39.4 -1.3
11 -5.4
19.4 -72.3
17.6 -101.9
6.2 -2.7
40.4 -13.3
7.8 -2.7
32 54.9
42.4 29.4
28.6 46.9
28.4 -21.5
55 -2.7
57.6 10.7
